model,quantization,language,problem,pass
deepseekcoder-7b,8bit,java,HumanEval_46_fib4,1
deepseekcoder-7b,8bit,java,HumanEval_46_fib4,0
deepseekcoder-7b,8bit,java,HumanEval_46_fib4,1
deepseekcoder-7b,8bit,java,HumanEval_46_fib4,0
deepseekcoder-7b,8bit,java,HumanEval_46_fib4,1
deepseekcoder-7b,8bit,java,HumanEval_46_fib4,1
deepseekcoder-7b,8bit,java,HumanEval_46_fib4,1
deepseekcoder-7b,8bit,java,HumanEval_46_fib4,1
deepseekcoder-7b,8bit,java,HumanEval_46_fib4,1
deepseekcoder-7b,8bit,java,HumanEval_46_fib4,0
deepseekcoder-7b,8bit,java,HumanEval_46_fib4,1
deepseekcoder-7b,8bit,java,HumanEval_46_fib4,1
deepseekcoder-7b,8bit,java,HumanEval_46_fib4,1
deepseekcoder-7b,8bit,java,HumanEval_46_fib4,0
deepseekcoder-7b,8bit,java,HumanEval_83_starts_one_ends,0
deepseekcoder-7b,8bit,java,HumanEval_83_starts_one_ends,0
deepseekcoder-7b,8bit,java,HumanEval_83_starts_one_ends,0
deepseekcoder-7b,8bit,java,HumanEval_83_starts_one_ends,0
deepseekcoder-7b,8bit,java,HumanEval_83_starts_one_ends,0
deepseekcoder-7b,8bit,java,HumanEval_83_starts_one_ends,0
deepseekcoder-7b,8bit,java,HumanEval_83_starts_one_ends,0
deepseekcoder-7b,8bit,java,HumanEval_83_starts_one_ends,0
deepseekcoder-7b,8bit,java,HumanEval_83_starts_one_ends,0
deepseekcoder-7b,8bit,java,HumanEval_83_starts_one_ends,0
deepseekcoder-7b,8bit,java,HumanEval_83_starts_one_ends,0
deepseekcoder-7b,8bit,java,HumanEval_83_starts_one_ends,0
deepseekcoder-7b,8bit,java,HumanEval_83_starts_one_ends,0
deepseekcoder-7b,8bit,java,HumanEval_83_starts_one_ends,0
deepseekcoder-7b,8bit,java,HumanEval_83_starts_one_ends,0
deepseekcoder-7b,8bit,java,HumanEval_83_starts_one_ends,0
deepseekcoder-7b,8bit,java,HumanEval_83_starts_one_ends,0
deepseekcoder-7b,8bit,java,HumanEval_83_starts_one_ends,0
deepseekcoder-7b,8bit,java,HumanEval_83_starts_one_ends,0
deepseekcoder-7b,8bit,java,HumanEval_83_starts_one_ends,0
deepseekcoder-7b,8bit,java,HumanEval_150_x_or_y,0
deepseekcoder-7b,8bit,java,HumanEval_150_x_or_y,0
deepseekcoder-7b,8bit,java,HumanEval_150_x_or_y,0
deepseekcoder-7b,8bit,java,HumanEval_150_x_or_y,0
deepseekcoder-7b,8bit,java,HumanEval_150_x_or_y,0
deepseekcoder-7b,8bit,java,HumanEval_150_x_or_y,0
deepseekcoder-7b,8bit,java,HumanEval_150_x_or_y,0
deepseekcoder-7b,8bit,java,HumanEval_150_x_or_y,0
deepseekcoder-7b,8bit,java,HumanEval_150_x_or_y,0
deepseekcoder-7b,8bit,java,HumanEval_150_x_or_y,0
deepseekcoder-7b,8bit,java,HumanEval_150_x_or_y,0
deepseekcoder-7b,8bit,java,HumanEval_150_x_or_y,0
deepseekcoder-7b,8bit,java,HumanEval_150_x_or_y,0
deepseekcoder-7b,8bit,java,HumanEval_150_x_or_y,0
deepseekcoder-7b,8bit,java,HumanEval_150_x_or_y,0
deepseekcoder-7b,8bit,java,HumanEval_150_x_or_y,0
deepseekcoder-7b,8bit,java,HumanEval_150_x_or_y,0
deepseekcoder-7b,8bit,java,HumanEval_150_x_or_y,0
deepseekcoder-7b,8bit,java,HumanEval_150_x_or_y,0
deepseekcoder-7b,8bit,java,HumanEval_150_x_or_y,0
deepseekcoder-7b,8bit,java,HumanEval_142_sum_squares,0
deepseekcoder-7b,8bit,java,HumanEval_142_sum_squares,0
deepseekcoder-7b,8bit,java,HumanEval_142_sum_squares,0
deepseekcoder-7b,8bit,java,HumanEval_142_sum_squares,0
deepseekcoder-7b,8bit,java,HumanEval_142_sum_squares,0
deepseekcoder-7b,8bit,java,HumanEval_142_sum_squares,0
deepseekcoder-7b,8bit,java,HumanEval_142_sum_squares,0
deepseekcoder-7b,8bit,java,HumanEval_142_sum_squares,0
deepseekcoder-7b,8bit,java,HumanEval_142_sum_squares,0
deepseekcoder-7b,8bit,java,HumanEval_142_sum_squares,0
deepseekcoder-7b,8bit,java,HumanEval_142_sum_squares,0
deepseekcoder-7b,8bit,java,HumanEval_142_sum_squares,0
deepseekcoder-7b,8bit,java,HumanEval_142_sum_squares,0
deepseekcoder-7b,8bit,java,HumanEval_142_sum_squares,0
deepseekcoder-7b,8bit,java,HumanEval_142_sum_squares,0
deepseekcoder-7b,8bit,java,HumanEval_142_sum_squares,0
deepseekcoder-7b,8bit,java,HumanEval_142_sum_squares,0
deepseekcoder-7b,8bit,java,HumanEval_142_sum_squares,0
deepseekcoder-7b,8bit,java,HumanEval_142_sum_squares,0
deepseekcoder-7b,8bit,java,HumanEval_142_sum_squares,0
deepseekcoder-7b,8bit,java,HumanEval_99_closest_integer,0
deepseekcoder-7b,8bit,java,HumanEval_99_closest_integer,0
deepseekcoder-7b,8bit,java,HumanEval_99_closest_integer,0
deepseekcoder-7b,8bit,java,HumanEval_99_closest_integer,0
deepseekcoder-7b,8bit,java,HumanEval_99_closest_integer,0
deepseekcoder-7b,8bit,java,HumanEval_99_closest_integer,0
deepseekcoder-7b,8bit,java,HumanEval_99_closest_integer,0
deepseekcoder-7b,8bit,java,HumanEval_99_closest_integer,0
deepseekcoder-7b,8bit,java,HumanEval_99_closest_integer,0
deepseekcoder-7b,8bit,java,HumanEval_99_closest_integer,0
deepseekcoder-7b,8bit,java,HumanEval_99_closest_integer,0
deepseekcoder-7b,8bit,java,HumanEval_99_closest_integer,0
deepseekcoder-7b,8bit,java,HumanEval_99_closest_integer,0
deepseekcoder-7b,8bit,java,HumanEval_99_closest_integer,0
deepseekcoder-7b,8bit,java,HumanEval_99_closest_integer,0
deepseekcoder-7b,8bit,java,HumanEval_99_closest_integer,0
deepseekcoder-7b,8bit,java,HumanEval_99_closest_integer,0
deepseekcoder-7b,8bit,java,HumanEval_99_closest_integer,0
deepseekcoder-7b,8bit,java,HumanEval_99_closest_integer,0
deepseekcoder-7b,8bit,java,HumanEval_99_closest_integer,0
deepseekcoder-7b,8bit,java,HumanEval_80_is_happy,0
deepseekcoder-7b,8bit,java,HumanEval_80_is_happy,0
deepseekcoder-7b,8bit,java,HumanEval_80_is_happy,0
deepseekcoder-7b,8bit,java,HumanEval_80_is_happy,0
deepseekcoder-7b,8bit,java,HumanEval_80_is_happy,0
deepseekcoder-7b,8bit,java,HumanEval_80_is_happy,0
deepseekcoder-7b,8bit,java,HumanEval_80_is_happy,0
deepseekcoder-7b,8bit,java,HumanEval_80_is_happy,0
deepseekcoder-7b,8bit,java,HumanEval_80_is_happy,0
deepseekcoder-7b,8bit,java,HumanEval_80_is_happy,0
deepseekcoder-7b,8bit,java,HumanEval_80_is_happy,0
deepseekcoder-7b,8bit,java,HumanEval_80_is_happy,0
deepseekcoder-7b,8bit,java,HumanEval_80_is_happy,0
deepseekcoder-7b,8bit,java,HumanEval_80_is_happy,0
deepseekcoder-7b,8bit,java,HumanEval_80_is_happy,0
deepseekcoder-7b,8bit,java,HumanEval_80_is_happy,0
deepseekcoder-7b,8bit,java,HumanEval_80_is_happy,0
deepseekcoder-7b,8bit,java,HumanEval_80_is_happy,0
deepseekcoder-7b,8bit,java,HumanEval_80_is_happy,0
deepseekcoder-7b,8bit,java,HumanEval_80_is_happy,0
deepseekcoder-7b,8bit,java,HumanEval_141_file_name_check,0
deepseekcoder-7b,8bit,java,HumanEval_141_file_name_check,0
deepseekcoder-7b,8bit,java,HumanEval_141_file_name_check,0
deepseekcoder-7b,8bit,java,HumanEval_141_file_name_check,0
deepseekcoder-7b,8bit,java,HumanEval_141_file_name_check,0
deepseekcoder-7b,8bit,java,HumanEval_141_file_name_check,0
deepseekcoder-7b,8bit,java,HumanEval_141_file_name_check,0
deepseekcoder-7b,8bit,java,HumanEval_141_file_name_check,0
deepseekcoder-7b,8bit,java,HumanEval_141_file_name_check,0
deepseekcoder-7b,8bit,java,HumanEval_141_file_name_check,0
deepseekcoder-7b,8bit,java,HumanEval_141_file_name_check,1
deepseekcoder-7b,8bit,java,HumanEval_141_file_name_check,0
deepseekcoder-7b,8bit,java,HumanEval_141_file_name_check,0
deepseekcoder-7b,8bit,java,HumanEval_141_file_name_check,1
deepseekcoder-7b,8bit,java,HumanEval_141_file_name_check,0
deepseekcoder-7b,8bit,java,HumanEval_141_file_name_check,0
deepseekcoder-7b,8bit,java,HumanEval_141_file_name_check,0
deepseekcoder-7b,8bit,java,HumanEval_141_file_name_check,1
deepseekcoder-7b,8bit,java,HumanEval_141_file_name_check,0
deepseekcoder-7b,8bit,java,HumanEval_141_file_name_check,0
deepseekcoder-7b,8bit,java,HumanEval_78_hex_key,0
deepseekcoder-7b,8bit,java,HumanEval_78_hex_key,0
deepseekcoder-7b,8bit,java,HumanEval_78_hex_key,1
deepseekcoder-7b,8bit,java,HumanEval_78_hex_key,1
deepseekcoder-7b,8bit,java,HumanEval_78_hex_key,1
deepseekcoder-7b,8bit,java,HumanEval_78_hex_key,0
deepseekcoder-7b,8bit,java,HumanEval_78_hex_key,0
deepseekcoder-7b,8bit,java,HumanEval_78_hex_key,1
deepseekcoder-7b,8bit,java,HumanEval_78_hex_key,1
deepseekcoder-7b,8bit,java,HumanEval_78_hex_key,0
deepseekcoder-7b,8bit,java,HumanEval_78_hex_key,1
deepseekcoder-7b,8bit,java,HumanEval_78_hex_key,1
deepseekcoder-7b,8bit,java,HumanEval_78_hex_key,1
deepseekcoder-7b,8bit,java,HumanEval_78_hex_key,1
deepseekcoder-7b,8bit,java,HumanEval_78_hex_key,0
deepseekcoder-7b,8bit,java,HumanEval_78_hex_key,1
deepseekcoder-7b,8bit,java,HumanEval_78_hex_key,1
deepseekcoder-7b,8bit,java,HumanEval_78_hex_key,0
deepseekcoder-7b,8bit,java,HumanEval_78_hex_key,1
deepseekcoder-7b,8bit,java,HumanEval_78_hex_key,1
deepseekcoder-7b,8bit,java,HumanEval_7_filter_by_substring,1
deepseekcoder-7b,8bit,java,HumanEval_7_filter_by_substring,1
deepseekcoder-7b,8bit,java,HumanEval_7_filter_by_substring,1
deepseekcoder-7b,8bit,java,HumanEval_7_filter_by_substring,1
deepseekcoder-7b,8bit,java,HumanEval_7_filter_by_substring,1
deepseekcoder-7b,8bit,java,HumanEval_7_filter_by_substring,1
deepseekcoder-7b,8bit,java,HumanEval_7_filter_by_substring,1
deepseekcoder-7b,8bit,java,HumanEval_7_filter_by_substring,1
deepseekcoder-7b,8bit,java,HumanEval_7_filter_by_substring,1
deepseekcoder-7b,8bit,java,HumanEval_7_filter_by_substring,1
deepseekcoder-7b,8bit,java,HumanEval_7_filter_by_substring,1
deepseekcoder-7b,8bit,java,HumanEval_7_filter_by_substring,1
deepseekcoder-7b,8bit,java,HumanEval_7_filter_by_substring,1
deepseekcoder-7b,8bit,java,HumanEval_7_filter_by_substring,1
deepseekcoder-7b,8bit,java,HumanEval_7_filter_by_substring,1
deepseekcoder-7b,8bit,java,HumanEval_7_filter_by_substring,1
deepseekcoder-7b,8bit,java,HumanEval_7_filter_by_substring,1
deepseekcoder-7b,8bit,java,HumanEval_7_filter_by_substring,1
deepseekcoder-7b,8bit,java,HumanEval_7_filter_by_substring,1
deepseekcoder-7b,8bit,java,HumanEval_7_filter_by_substring,1
deepseekcoder-7b,8bit,java,HumanEval_18_how_many_times,0
deepseekcoder-7b,8bit,java,HumanEval_18_how_many_times,0
deepseekcoder-7b,8bit,java,HumanEval_18_how_many_times,1
deepseekcoder-7b,8bit,java,HumanEval_18_how_many_times,0
deepseekcoder-7b,8bit,java,HumanEval_18_how_many_times,1
deepseekcoder-7b,8bit,java,HumanEval_18_how_many_times,1
deepseekcoder-7b,8bit,java,HumanEval_18_how_many_times,1
deepseekcoder-7b,8bit,java,HumanEval_18_how_many_times,1
deepseekcoder-7b,8bit,java,HumanEval_18_how_many_times,1
deepseekcoder-7b,8bit,java,HumanEval_18_how_many_times,1
deepseekcoder-7b,8bit,java,HumanEval_18_how_many_times,0
deepseekcoder-7b,8bit,java,HumanEval_18_how_many_times,0
deepseekcoder-7b,8bit,java,HumanEval_18_how_many_times,1
deepseekcoder-7b,8bit,java,HumanEval_18_how_many_times,1
deepseekcoder-7b,8bit,java,HumanEval_18_how_many_times,1
deepseekcoder-7b,8bit,java,HumanEval_18_how_many_times,1
deepseekcoder-7b,8bit,java,HumanEval_18_how_many_times,1
deepseekcoder-7b,8bit,java,HumanEval_18_how_many_times,1
deepseekcoder-7b,8bit,java,HumanEval_18_how_many_times,1
deepseekcoder-7b,8bit,java,HumanEval_18_how_many_times,0
deepseekcoder-7b,8bit,java,HumanEval_143_words_in_sentence,0
deepseekcoder-7b,8bit,java,HumanEval_143_words_in_sentence,0
deepseekcoder-7b,8bit,java,HumanEval_143_words_in_sentence,0
deepseekcoder-7b,8bit,java,HumanEval_143_words_in_sentence,0
deepseekcoder-7b,8bit,java,HumanEval_143_words_in_sentence,0
deepseekcoder-7b,8bit,java,HumanEval_143_words_in_sentence,0
deepseekcoder-7b,8bit,java,HumanEval_143_words_in_sentence,0
deepseekcoder-7b,8bit,java,HumanEval_143_words_in_sentence,0
deepseekcoder-7b,8bit,java,HumanEval_143_words_in_sentence,0
deepseekcoder-7b,8bit,java,HumanEval_143_words_in_sentence,0
deepseekcoder-7b,8bit,java,HumanEval_143_words_in_sentence,0
deepseekcoder-7b,8bit,java,HumanEval_143_words_in_sentence,0
deepseekcoder-7b,8bit,java,HumanEval_143_words_in_sentence,0
deepseekcoder-7b,8bit,java,HumanEval_143_words_in_sentence,0
deepseekcoder-7b,8bit,java,HumanEval_143_words_in_sentence,0
deepseekcoder-7b,8bit,java,HumanEval_143_words_in_sentence,0
deepseekcoder-7b,8bit,java,HumanEval_143_words_in_sentence,0
deepseekcoder-7b,8bit,java,HumanEval_143_words_in_sentence,0
deepseekcoder-7b,8bit,java,HumanEval_143_words_in_sentence,0
deepseekcoder-7b,8bit,java,HumanEval_143_words_in_sentence,0
deepseekcoder-7b,8bit,java,HumanEval_43_pairs_sum_to_zero,1
deepseekcoder-7b,8bit,java,HumanEval_43_pairs_sum_to_zero,1
deepseekcoder-7b,8bit,java,HumanEval_43_pairs_sum_to_zero,1
deepseekcoder-7b,8bit,java,HumanEval_43_pairs_sum_to_zero,1
deepseekcoder-7b,8bit,java,HumanEval_43_pairs_sum_to_zero,1
deepseekcoder-7b,8bit,java,HumanEval_43_pairs_sum_to_zero,1
deepseekcoder-7b,8bit,java,HumanEval_43_pairs_sum_to_zero,1
deepseekcoder-7b,8bit,java,HumanEval_43_pairs_sum_to_zero,1
deepseekcoder-7b,8bit,java,HumanEval_43_pairs_sum_to_zero,1
deepseekcoder-7b,8bit,java,HumanEval_43_pairs_sum_to_zero,1
deepseekcoder-7b,8bit,java,HumanEval_43_pairs_sum_to_zero,1
deepseekcoder-7b,8bit,java,HumanEval_43_pairs_sum_to_zero,1
deepseekcoder-7b,8bit,java,HumanEval_43_pairs_sum_to_zero,1
deepseekcoder-7b,8bit,java,HumanEval_43_pairs_sum_to_zero,1
deepseekcoder-7b,8bit,java,HumanEval_43_pairs_sum_to_zero,1
deepseekcoder-7b,8bit,java,HumanEval_43_pairs_sum_to_zero,1
deepseekcoder-7b,8bit,java,HumanEval_43_pairs_sum_to_zero,1
deepseekcoder-7b,8bit,java,HumanEval_43_pairs_sum_to_zero,1
deepseekcoder-7b,8bit,java,HumanEval_43_pairs_sum_to_zero,1
deepseekcoder-7b,8bit,java,HumanEval_43_pairs_sum_to_zero,1
deepseekcoder-7b,8bit,java,HumanEval_163_generate_integers,0
deepseekcoder-7b,8bit,java,HumanEval_163_generate_integers,0
deepseekcoder-7b,8bit,java,HumanEval_163_generate_integers,0
deepseekcoder-7b,8bit,java,HumanEval_163_generate_integers,0
deepseekcoder-7b,8bit,java,HumanEval_163_generate_integers,0
deepseekcoder-7b,8bit,java,HumanEval_163_generate_integers,0
deepseekcoder-7b,8bit,java,HumanEval_163_generate_integers,0
deepseekcoder-7b,8bit,java,HumanEval_163_generate_integers,0
deepseekcoder-7b,8bit,java,HumanEval_163_generate_integers,0
deepseekcoder-7b,8bit,java,HumanEval_163_generate_integers,0
deepseekcoder-7b,8bit,java,HumanEval_163_generate_integers,0
deepseekcoder-7b,8bit,java,HumanEval_163_generate_integers,0
deepseekcoder-7b,8bit,java,HumanEval_163_generate_integers,0
deepseekcoder-7b,8bit,java,HumanEval_163_generate_integers,0
deepseekcoder-7b,8bit,java,HumanEval_163_generate_integers,0
deepseekcoder-7b,8bit,java,HumanEval_163_generate_integers,0
deepseekcoder-7b,8bit,java,HumanEval_163_generate_integers,0
deepseekcoder-7b,8bit,java,HumanEval_163_generate_integers,0
deepseekcoder-7b,8bit,java,HumanEval_163_generate_integers,0
deepseekcoder-7b,8bit,java,HumanEval_163_generate_integers,0
deepseekcoder-7b,8bit,java,HumanEval_88_sort_array,1
deepseekcoder-7b,8bit,java,HumanEval_88_sort_array,0
deepseekcoder-7b,8bit,java,HumanEval_88_sort_array,1
deepseekcoder-7b,8bit,java,HumanEval_88_sort_array,0
deepseekcoder-7b,8bit,java,HumanEval_88_sort_array,1
deepseekcoder-7b,8bit,java,HumanEval_88_sort_array,0
deepseekcoder-7b,8bit,java,HumanEval_88_sort_array,0
deepseekcoder-7b,8bit,java,HumanEval_88_sort_array,1
deepseekcoder-7b,8bit,java,HumanEval_88_sort_array,1
deepseekcoder-7b,8bit,java,HumanEval_88_sort_array,1
deepseekcoder-7b,8bit,java,HumanEval_88_sort_array,1
deepseekcoder-7b,8bit,java,HumanEval_88_sort_array,1
deepseekcoder-7b,8bit,java,HumanEval_88_sort_array,1
deepseekcoder-7b,8bit,java,HumanEval_88_sort_array,1
deepseekcoder-7b,8bit,java,HumanEval_88_sort_array,1
deepseekcoder-7b,8bit,java,HumanEval_88_sort_array,1
deepseekcoder-7b,8bit,java,HumanEval_88_sort_array,1
deepseekcoder-7b,8bit,java,HumanEval_88_sort_array,0
deepseekcoder-7b,8bit,java,HumanEval_88_sort_array,1
deepseekcoder-7b,8bit,java,HumanEval_88_sort_array,1
deepseekcoder-7b,8bit,java,HumanEval_97_multiply,0
deepseekcoder-7b,8bit,java,HumanEval_97_multiply,0
deepseekcoder-7b,8bit,java,HumanEval_97_multiply,0
deepseekcoder-7b,8bit,java,HumanEval_97_multiply,0
deepseekcoder-7b,8bit,java,HumanEval_97_multiply,0
deepseekcoder-7b,8bit,java,HumanEval_97_multiply,0
deepseekcoder-7b,8bit,java,HumanEval_97_multiply,0
deepseekcoder-7b,8bit,java,HumanEval_97_multiply,0
deepseekcoder-7b,8bit,java,HumanEval_97_multiply,0
deepseekcoder-7b,8bit,java,HumanEval_97_multiply,0
deepseekcoder-7b,8bit,java,HumanEval_97_multiply,0
deepseekcoder-7b,8bit,java,HumanEval_97_multiply,0
deepseekcoder-7b,8bit,java,HumanEval_97_multiply,0
deepseekcoder-7b,8bit,java,HumanEval_97_multiply,0
deepseekcoder-7b,8bit,java,HumanEval_97_multiply,0
deepseekcoder-7b,8bit,java,HumanEval_97_multiply,0
deepseekcoder-7b,8bit,java,HumanEval_97_multiply,0
deepseekcoder-7b,8bit,java,HumanEval_97_multiply,0
deepseekcoder-7b,8bit,java,HumanEval_97_multiply,0
deepseekcoder-7b,8bit,java,HumanEval_97_multiply,0
deepseekcoder-7b,8bit,java,HumanEval_68_pluck,1
deepseekcoder-7b,8bit,java,HumanEval_68_pluck,1
deepseekcoder-7b,8bit,java,HumanEval_68_pluck,1
deepseekcoder-7b,8bit,java,HumanEval_68_pluck,1
deepseekcoder-7b,8bit,java,HumanEval_68_pluck,1
deepseekcoder-7b,8bit,java,HumanEval_68_pluck,1
deepseekcoder-7b,8bit,java,HumanEval_68_pluck,1
deepseekcoder-7b,8bit,java,HumanEval_68_pluck,1
deepseekcoder-7b,8bit,java,HumanEval_68_pluck,1
deepseekcoder-7b,8bit,java,HumanEval_68_pluck,1
deepseekcoder-7b,8bit,java,HumanEval_68_pluck,1
deepseekcoder-7b,8bit,java,HumanEval_68_pluck,1
deepseekcoder-7b,8bit,java,HumanEval_68_pluck,1
deepseekcoder-7b,8bit,java,HumanEval_68_pluck,1
deepseekcoder-7b,8bit,java,HumanEval_68_pluck,1
deepseekcoder-7b,8bit,java,HumanEval_68_pluck,1
deepseekcoder-7b,8bit,java,HumanEval_68_pluck,1
deepseekcoder-7b,8bit,java,HumanEval_68_pluck,1
deepseekcoder-7b,8bit,java,HumanEval_68_pluck,1
deepseekcoder-7b,8bit,java,HumanEval_68_pluck,1
deepseekcoder-7b,8bit,java,HumanEval_74_total_match,0
deepseekcoder-7b,8bit,java,HumanEval_74_total_match,1
deepseekcoder-7b,8bit,java,HumanEval_74_total_match,1
deepseekcoder-7b,8bit,java,HumanEval_74_total_match,0
deepseekcoder-7b,8bit,java,HumanEval_74_total_match,0
deepseekcoder-7b,8bit,java,HumanEval_74_total_match,1
deepseekcoder-7b,8bit,java,HumanEval_74_total_match,0
deepseekcoder-7b,8bit,java,HumanEval_74_total_match,1
deepseekcoder-7b,8bit,java,HumanEval_74_total_match,0
deepseekcoder-7b,8bit,java,HumanEval_74_total_match,1
deepseekcoder-7b,8bit,java,HumanEval_74_total_match,0
deepseekcoder-7b,8bit,java,HumanEval_74_total_match,0
deepseekcoder-7b,8bit,java,HumanEval_74_total_match,0
deepseekcoder-7b,8bit,java,HumanEval_74_total_match,0
deepseekcoder-7b,8bit,java,HumanEval_74_total_match,1
deepseekcoder-7b,8bit,java,HumanEval_74_total_match,0
deepseekcoder-7b,8bit,java,HumanEval_74_total_match,0
deepseekcoder-7b,8bit,java,HumanEval_74_total_match,0
deepseekcoder-7b,8bit,java,HumanEval_74_total_match,0
deepseekcoder-7b,8bit,java,HumanEval_74_total_match,1
deepseekcoder-7b,8bit,java,HumanEval_129_minPath,0
deepseekcoder-7b,8bit,java,HumanEval_129_minPath,0
deepseekcoder-7b,8bit,java,HumanEval_129_minPath,0
deepseekcoder-7b,8bit,java,HumanEval_129_minPath,0
deepseekcoder-7b,8bit,java,HumanEval_129_minPath,0
deepseekcoder-7b,8bit,java,HumanEval_129_minPath,0
deepseekcoder-7b,8bit,java,HumanEval_129_minPath,0
deepseekcoder-7b,8bit,java,HumanEval_129_minPath,0
deepseekcoder-7b,8bit,java,HumanEval_129_minPath,0
deepseekcoder-7b,8bit,java,HumanEval_129_minPath,0
deepseekcoder-7b,8bit,java,HumanEval_129_minPath,0
deepseekcoder-7b,8bit,java,HumanEval_129_minPath,0
deepseekcoder-7b,8bit,java,HumanEval_129_minPath,0
deepseekcoder-7b,8bit,java,HumanEval_129_minPath,0
deepseekcoder-7b,8bit,java,HumanEval_129_minPath,0
deepseekcoder-7b,8bit,java,HumanEval_129_minPath,0
deepseekcoder-7b,8bit,java,HumanEval_129_minPath,0
deepseekcoder-7b,8bit,java,HumanEval_129_minPath,0
deepseekcoder-7b,8bit,java,HumanEval_129_minPath,0
deepseekcoder-7b,8bit,java,HumanEval_129_minPath,0
deepseekcoder-7b,8bit,java,HumanEval_154_cycpattern_check,0
deepseekcoder-7b,8bit,java,HumanEval_154_cycpattern_check,0
deepseekcoder-7b,8bit,java,HumanEval_154_cycpattern_check,0
deepseekcoder-7b,8bit,java,HumanEval_154_cycpattern_check,0
deepseekcoder-7b,8bit,java,HumanEval_154_cycpattern_check,0
deepseekcoder-7b,8bit,java,HumanEval_154_cycpattern_check,0
